id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,WPRDC,growpghgardens201712_readin.xlsx,584,Grow PGH Garden,Angora Gardens,3 Muse Lane,White Oak,PA,15131,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/angora-gardens-1,40.404686,-79.862095,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
NA,WPRDC,growpghgardens201712_readin.xlsx,586,Grow PGH Garden,Everybody's Garden,301 West Elizabeth Street,Pittsburgh,PA,15207,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/everybodys-garden,40.406546,-79.945442,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
NA,WPRDC,growpghgardens201712_readin.xlsx,587,Grow PGH Garden,EvGard Extension,5108 Lytle St,Pittsburgh,PA,15207,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/evgard-extension,40.406377,-79.945559,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
NA,WPRDC,growpghgardens201712_readin.xlsx,588,Grow PGH Garden,Glen Hazel Communiuty Garden,Johnston Avenue at Roselle Drive,Pittsburgh,PA,15207,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/glen-hazel-communiuty-garden,40.40604,-79.931253,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
NA,WPRDC,growpghgardens201712_readin.xlsx,589,Grow PGH Garden,Grow Pittsburgh,6587 Hamilton Avenue #2W,Pittsburgh,PA,15206,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/grow-pittsburgh,40.458481,-79.911381,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
NA,WPRDC,growpghgardens201712_readin.xlsx,590,Grow PGH Garden,Lawrenceville Organic Community Garden,"Allegheny Cemetery, 4734 Butler Street",Pittsburgh,PA,15201,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/lawrenceville-organic-community-garden,40.477158,-79.956114,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
NA,WPRDC,growpghgardens201712_readin.xlsx,591,Grow PGH Garden,Masjid al Mu'min Madinah Garden,159 Winslow Street,Pittsburgh,PA,15206,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/masjid-al-mumin-madinah-garden,40.46445,-79.911651,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
NA,WPRDC,growpghgardens201712_readin.xlsx,592,Grow PGH Garden,South Oakland Community Orchard,3213 Parkview Avenue,Pittsburgh,PA,15213,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/south-oakland-community-orchard,40.429834,-79.953578,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
NA,WPRDC,growpghgardens201712_readin.xlsx,593,Grow PGH Garden,Thelma Lovette YMCA Garden,2114 Centre Avenue,Pittsburgh,PA,15219,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/thelma-lovette-ymca-garden,40.444369,-79.978126,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
NA,WPRDC,growpghgardens201712_readin.xlsx,594,Grow PGH Garden,Wiggins Garden,Near 3026 Wiggins Street,Pittsburgh,PA,15219,NA,NA,NA,https://www.growpittsburgh.org/directory/garden/wiggins-garden,40.457618,-79.969499,agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,no date/time;no county info
